City,Region,Country,Place combined,"""Help Nepal"", Indexed search interest (1-100)",Time (in GMT)
Cologne,North Rhine-Westphalia,Germany,"Cologne, Germany",0,4/25/15 12:53
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 12:53
Howrah,West Bengal,India,"Howrah, India",0,4/25/15 12:54
Augusta,Michigan,United States,"Augusta, United States",100,4/25/15 12:56
Bellevue,Wisconsin,United States,"Bellevue, United States",4,4/25/15 12:56
Brisbane,Queensland,Australia,"Brisbane, Australia",0,4/25/15 12:56
Centertown,Missouri,United States,"Centertown, United States",3,4/25/15 12:56
Ottawa,Ontario,Canada,"Ottawa, Canada",0,4/25/15 12:57
East Moline,Illinois,United States,"East Moline, United States",5,4/25/15 12:58
Tega Cay,South Carolina,United States,"Tega Cay, United States",8,4/25/15 12:58
Ulm,Baden-Wurttemberg,Germany,"Ulm, Germany",1,4/25/15 12:58
Aberdeen,Scotland,United Kingdom,"Aberdeen, United Kingdom",1,4/25/15 12:59
Denver,Colorado,United States,"Denver, United States",0,4/25/15 12:59
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/25/15 13:00
Trnava,Trnava Region,Slovakia,"Trnava, Slovakia",4,4/25/15 13:00
Hilversum,North Holland,Netherlands,"Hilversum, Netherlands",3,4/25/15 13:02
Sharm el-Sheikh,South Sinai,Egypt,"Sharm el-Sheikh, Egypt",6,4/25/15 13:02
Coventry,England,United Kingdom,"Coventry, United Kingdom",1,4/25/15 13:03
Kolkata,West Bengal,India,"Kolkata, India",1,4/25/15 13:03
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 13:03
Marcq-en-BarOeul,Nord-Pas-de-Calais,France,"Marcq-en-BarOeul, France",7,4/25/15 13:03
Yokohama,Kanagawa Prefecture,Japan,"Yokohama, Japan",0,4/25/15 13:03
Royal Oak,Michigan,United States,"Royal Oak, United States",3,4/25/15 13:04
Amsterdam,North Holland,Netherlands,"Amsterdam, Netherlands",0,4/25/15 13:05
Windsor,Maine,United States,"Windsor, United States",100,4/25/15 13:06
New York,New York,United States,"New York, United States",0,4/25/15 13:07
Bangkok,Bangkok,Thailand,"Bangkok, Thailand",0,4/25/15 13:08
Cave Spring,Virginia,United States,"Cave Spring, United States",7,4/25/15 13:08
Gurgaon,Haryana,India,"Gurgaon, India",0,4/25/15 13:09
Armeno,Piedmont,Italy,"Armeno, Italy",100,4/25/15 13:10
Ithaca,New York,United States,"Ithaca, United States",3,4/25/15 13:10
New York,New York,United States,"New York, United States",0,4/25/15 13:10
St. Albert,Alberta,Canada,"St. Albert, Canada",8,4/25/15 13:10
Durham,North Carolina,United States,"Durham, United States",1,4/25/15 13:11
Studley,England,United Kingdom,"Studley, United Kingdom",50,4/25/15 13:11
Denver,Colorado,United States,"Denver, United States",0,4/25/15 13:12
Diamondhead,Mississippi,United States,"Diamondhead, United States",50,4/25/15 13:12
Mississauga,Ontario,Canada,"Mississauga, Canada",0,4/25/15 13:12
New Orleans,Louisiana,United States,"New Orleans, United States",1,4/25/15 13:12
Decatur,Alabama,United States,"Decatur, United States",6,4/25/15 13:13
Doha,Ad Dawhah,Qatar,"Doha, Qatar",0,4/25/15 13:13
Berlin,Berlin,Germany,"Berlin, Germany",0,4/25/15 13:16
Bilbao,Basque Country,Spain,"Bilbao, Spain",1,4/25/15 13:16
Petaling Jaya,Selangor,Malaysia,"Petaling Jaya, Malaysia",1,4/25/15 13:16
Setagaya,Tokyo,Japan,"Setagaya, Japan",0,4/25/15 13:16
Williton,England,United Kingdom,"Williton, United Kingdom",4,4/25/15 13:16
Bangalore,Karnataka,India,"Bangalore, India",0,4/25/15 13:18
Houston,Texas,United States,"Houston, United States",0,4/25/15 13:18
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 13:18
Bay Lake,Florida,United States,"Bay Lake, United States",0,4/25/15 13:19
Cambridge,Massachusetts,United States,"Cambridge, United States",1,4/25/15 13:19
Chennai,Tamil Nadu,India,"Chennai, India",0,4/25/15 13:19
Montreal,Quebec,Canada,"Montreal, Canada",0,4/25/15 13:19
Munich,Bavaria,Germany,"Munich, Germany",0,4/25/15 13:19
New York,New York,United States,"New York, United States",0,4/25/15 13:20
Belfast,Northern Ireland,United Kingdom,"Belfast, United Kingdom",0,4/25/15 13:21
Messina,Sicily,Italy,"Messina, Italy",5,4/25/15 13:22
Austin,Texas,United States,"Austin, United States",0,4/25/15 13:22
Homagama,Western Province,Sri Lanka,"Homagama, Sri Lanka",0,4/25/15 13:22
Nagoya,Aichi Prefecture,Japan,"Nagoya, Japan",0,4/25/15 13:22
Saint John,New Brunswick,Canada,"Saint John, Canada",3,4/25/15 13:22
Berlin,Berlin,Germany,"Berlin, Germany",0,4/25/15 13:23
Ho Chi Minh City,Ho Chi Minh City,Vietnam,"Ho Chi Minh City, Vietnam",0,4/25/15 13:23
Columbus,Indiana,United States,"Columbus, United States",5,4/25/15 13:24
Nonthaburi,Nonthaburi,Thailand,"Nonthaburi, Thailand",1,4/25/15 13:24
Amsterdam,North Holland,Netherlands,"Amsterdam, Netherlands",0,4/25/15 13:25
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 13:25
Cave Spring,Virginia,United States,"Cave Spring, United States",9,4/25/15 13:26
Essex,Connecticut,United States,"Essex, United States",100,4/25/15 13:26
Minato,Tokyo,Japan,"Minato, Japan",0,4/25/15 13:26
South Brunswick Township,New Jersey,United States,"South Brunswick Township, United States",5,4/25/15 13:26
Dresden,Saxony,Germany,"Dresden, Germany",0,4/25/15 13:28
Lake Placid,New York,United States,"Lake Placid, United States",33,4/25/15 13:28
Milton,Ontario,Canada,"Milton, Canada",3,4/25/15 13:28
Valdepenas,Castile-La Mancha,Spain,"Valdepenas, Spain",14,4/25/15 13:29
McGaheysville,Virginia,United States,"McGaheysville, United States",100,4/25/15 13:29
Daytona Beach,Florida,United States,"Daytona Beach, United States",5,4/25/15 13:30
Doha,Ad Dawhah,Qatar,"Doha, Qatar",0,4/25/15 13:32
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 13:32
Shelbyville,Tennessee,United States,"Shelbyville, United States",8,4/25/15 13:32
Bristol,England,United Kingdom,"Bristol, United Kingdom",0,4/25/15 13:34
Homagama,Western Province,Sri Lanka,"Homagama, Sri Lanka",0,4/25/15 13:34
Munich,Bavaria,Germany,"Munich, Germany",0,4/25/15 13:35
New York,New York,United States,"New York, United States",0,4/25/15 13:35
Upper Arlington,Ohio,United States,"Upper Arlington, United States",8,4/25/15 13:35
Giurgiu,RO-GR,Romania,"Giurgiu, Romania",10,4/25/15 13:36
New York,New York,United States,"New York, United States",0,4/25/15 13:36
Bridgeport,Connecticut,United States,"Bridgeport, United States",3,4/25/15 13:37
Cape Town,Western Cape,South Africa,"Cape Town, South Africa",0,4/25/15 13:37
Detroit,Michigan,United States,"Detroit, United States",0,4/25/15 13:37
Howrah,West Bengal,India,"Howrah, India",0,4/25/15 13:37
Kabasalan,Zamboanga Peninsula,Philippines,"Kabasalan, Philippines",100,4/25/15 13:37
Paris,isle-de-France,France,"Paris, France",0,4/25/15 13:37
A Coruina,Galicia,Spain,"A Coruina, Spain",1,4/25/15 13:38
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 13:38
Woburn,Massachusetts,United States,"Woburn, United States",4,4/25/15 13:38
Dortmund,North Rhine-Westphalia,Germany,"Dortmund, Germany",0,4/25/15 13:39
Giessen,Hesse,Germany,"Giessen, Germany",2,4/25/15 13:39
Irving,Texas,United States,"Irving, United States",2,4/25/15 13:39
Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia,"Kuala Lumpur, Malaysia",0,4/25/15 13:39
Madrid,Community of Madrid,Spain,"Madrid, Spain",0,4/25/15 13:39
Mexico City,Federal District,Mexico,"Mexico City, Mexico",0,4/25/15 13:39
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 13:39
Washington,Pennsylvania,United States,"Washington, United States",8,4/25/15 13:39
Arlington,Virginia,United States,"Arlington, United States",1,4/25/15 13:40
Lyon,Rhone-Alpes,France,"Lyon, France",0,4/25/15 13:40
Shimla,Himachal Pradesh,India,"Shimla, India",6,4/25/15 13:40
Atlanta,Georgia,United States,"Atlanta, United States",0,4/25/15 13:41
Bangkok,Bangkok,Thailand,"Bangkok, Thailand",0,4/25/15 13:41
Doha,Ad Dawhah,Qatar,"Doha, Qatar",0,4/25/15 13:41
Grapevine,Texas,United States,"Grapevine, United States",2,4/25/15 13:41
Wuppertal,North Rhine-Westphalia,Germany,"Wuppertal, Germany",1,4/25/15 13:41
Durham,North Carolina,United States,"Durham, United States",1,4/25/15 13:42
Nashville,Tennessee,United States,"Nashville, United States",0,4/25/15 13:42
Rainham,England,United Kingdom,"Rainham, United Kingdom",13,4/25/15 13:42
Thana Shankar Dwari,Uttar Pradesh,India,"Thana Shankar Dwari, India",5,4/25/15 13:42
Khobar,Eastern Province,Saudi Arabia,"Khobar, Saudi Arabia",0,4/25/15 13:43
Long Buckby,England,United Kingdom,"Long Buckby, United Kingdom",7,4/25/15 13:43
Martock,England,United Kingdom,"Martock, United Kingdom",7,4/25/15 13:43
Dallas,Texas,United States,"Dallas, United States",0,4/25/15 13:44
Loenen,Utrecht,Netherlands,"Loenen, Netherlands",100,4/25/15 13:44
Milan,Lombardy,Italy,"Milan, Italy",0,4/25/15 13:44
Boston,Massachusetts,United States,"Boston, United States",0,4/25/15 13:45
Glasgow,Scotland,United Kingdom,"Glasgow, United Kingdom",0,4/25/15 13:45
Howrah,West Bengal,India,"Howrah, India",0,4/25/15 13:45
Huldenberg,Flanders,Belgium,"Huldenberg, Belgium",14,4/25/15 13:45
Madison,Wisconsin,United States,"Madison, United States",0,4/25/15 13:45
Bedale,England,United Kingdom,"Bedale, United Kingdom",100,4/25/15 13:46
Cambridge,England,United Kingdom,"Cambridge, United Kingdom",1,4/25/15 13:46
Virginia Beach,Virginia,United States,"Virginia Beach, United States",1,4/25/15 13:46
Chandler,Arizona,United States,"Chandler, United States",3,4/25/15 13:47
Coalville,Utah,United States,"Coalville, United States",2,4/25/15 13:47
Fredericksburg,Virginia,United States,"Fredericksburg, United States",3,4/25/15 13:47
Manchester,England,United Kingdom,"Manchester, United Kingdom",0,4/25/15 13:48
New York,New York,United States,"New York, United States",0,4/25/15 13:48
Paris,isle-de-France,France,"Paris, France",0,4/25/15 13:48
Quakertown,Pennsylvania,United States,"Quakertown, United States",7,4/25/15 13:48
Seville,Andalusia,Spain,"Seville, Spain",0,4/25/15 13:48
Concord,New Hampshire,United States,"Concord, United States",5,4/25/15 13:49
Sherburn Village,England,United Kingdom,"Sherburn Village, United Kingdom",50,4/25/15 13:49
Towson,Maryland,United States,"Towson, United States",6,4/25/15 13:49
Beckley,West Virginia,United States,"Beckley, United States",6,4/25/15 13:50
Hudson,Wisconsin,United States,"Hudson, United States",8,4/25/15 13:50
Madison,Wisconsin,United States,"Madison, United States",0,4/25/15 13:50
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 13:50
Smyrna,Georgia,United States,"Smyrna, United States",1,4/25/15 13:50
Jakarta,Jakarta,Indonesia,"Jakarta, Indonesia",0,4/25/15 13:51
Denver,Colorado,United States,"Denver, United States",0,4/25/15 13:53
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 13:53
Palisades Park,New Jersey,United States,"Palisades Park, United States",11,4/25/15 13:53
Rolling Meadows,Illinois,United States,"Rolling Meadows, United States",2,4/25/15 13:53
Sheridan,Oregon,United States,"Sheridan, United States",0,4/25/15 13:53
Boston,Massachusetts,United States,"Boston, United States",0,4/25/15 13:54
Forest Hills,Michigan,United States,"Forest Hills, United States",8,4/25/15 13:54
Hyderabad,Andhra Pradesh,India,"Hyderabad, India",0,4/25/15 13:54
Florence,Tuscany,Italy,"Florence, Italy",0,4/25/15 13:56
Peshawar,Khyber Pakhtunkhwa,Pakistan,"Peshawar, Pakistan",1,4/25/15 13:56
Redondo Beach,California,United States,"Redondo Beach, United States",6,4/25/15 13:56
Seattle,Washington,United States,"Seattle, United States",1,4/25/15 13:56
Wythenshawe,England,United Kingdom,"Wythenshawe, United Kingdom",0,4/25/15 13:56
Espoo,Uusimaa,Finland,"Espoo, Finland",1,4/25/15 13:58
Haslemere,England,United Kingdom,"Haslemere, United Kingdom",10,4/25/15 13:58
Huntsville,Alabama,United States,"Huntsville, United States",1,4/25/15 13:58
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 13:58
Mississauga,Ontario,Canada,"Mississauga, Canada",0,4/25/15 13:58
Bethesda,Maryland,United States,"Bethesda, United States",3,4/25/15 13:59
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 13:59
Springfield,Illinois,United States,"Springfield, United States",2,4/25/15 13:59
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/25/15 14:00
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 14:00
Lexington,Virginia,United States,"Lexington, United States",14,4/25/15 14:01
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 14:01
New York,New York,United States,"New York, United States",0,4/25/15 14:01
Southampton,England,United Kingdom,"Southampton, United Kingdom",1,4/25/15 14:01
Warwick,New York,United States,"Warwick, United States",13,4/25/15 14:01
Houston,Texas,United States,"Houston, United States",0,4/25/15 14:02
Bismarck,North Dakota,United States,"Bismarck, United States",2,4/25/15 14:03
Dhaka,Dhaka Division,Bangladesh,"Dhaka, Bangladesh",0,4/25/15 14:03
Howrah,West Bengal,India,"Howrah, India",0,4/25/15 14:03
Los Gatos,California,United States,"Los Gatos, United States",100,4/25/15 14:03
Montreal,Quebec,Canada,"Montreal, Canada",0,4/25/15 14:03
Naples,Campania,Italy,"Naples, Italy",0,4/25/15 14:03
Sharjah,Sharjah,United Arab Emirates,"Sharjah, United Arab Emirates",0,4/25/15 14:03
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/25/15 14:03
Venice,Veneto,Italy,"Venice, Italy",1,4/25/15 14:03
Bangkok,Bangkok,Thailand,"Bangkok, Thailand",0,4/25/15 14:04
Edmonton,Alberta,Canada,"Edmonton, Canada",0,4/25/15 14:05
Wheaton-Glenmont,Maryland,United States,"Wheaton-Glenmont, United States",4,4/25/15 14:05
Mumbai,Maharashtra,India,"Mumbai, India",0,4/25/15 14:06
Wantagh,New York,United States,"Wantagh, United States",8,4/25/15 14:06
Bangalore,Karnataka,India,"Bangalore, India",0,4/25/15 14:08
Brunswick,Maine,United States,"Brunswick, United States",14,4/25/15 14:08
Sheridan,Oregon,United States,"Sheridan, United States",0,4/25/15 14:08
Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia,"Kuala Lumpur, Malaysia",0,4/25/15 14:09
Helsinki,Uusimaa,Finland,"Helsinki, Finland",0,4/25/15 14:10
Yangon,Yangon Region,Myanma,"Yangon, Myanma",0,4/25/15 14:10
Bremen,Bremen,Germany,"Bremen, Germany",0,4/25/15 14:13
Hudson,Wisconsin,United States,"Hudson, United States",7,4/25/15 14:13
Austin,Texas,United States,"Austin, United States",0,4/25/15 14:14
Bogotia,Cundinamarca,Colombia,"Bogotia, Colombia",0,4/25/15 14:14
Calgary,Alberta,Canada,"Calgary, Canada",0,4/25/15 14:14
Dhaka,Dhaka Division,Bangladesh,"Dhaka, Bangladesh",0,4/25/15 14:14
Freiburg,Baden-Wurttemberg,Germany,"Freiburg, Germany",0,4/25/15 14:14
Toledo,Ohio,United States,"Toledo, United States",2,4/25/15 14:14
Bemmel,Gelderland,Netherlands,"Bemmel, Netherlands",25,4/25/15 14:18
Broadstairs,England,United Kingdom,"Broadstairs, United Kingdom",20,4/25/15 14:18
Guildford,England,United Kingdom,"Guildford, United Kingdom",2,4/25/15 14:18
Halmstad,Halland County,Sweden,"Halmstad, Sweden",2,4/25/15 14:18
Mexico City,Federal District,Mexico,"Mexico City, Mexico",0,4/25/15 14:18
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 14:18
New York,New York,United States,"New York, United States",0,4/25/15 14:18
Saratoga Springs,Utah,United States,"Saratoga Springs, United States",7,4/25/15 14:18
St. Louis,Missouri,United States,"St. Louis, United States",0,4/25/15 14:18
Pokhara,Western Region,Nepal,"Pokhara, Nepal",6,4/25/15 14:19
Potomac,Maryland,United States,"Potomac, United States",8,4/25/15 14:19
Surat,Gujarat,India,"Surat, India",1,4/25/15 14:19
Amsterdam,North Holland,Netherlands,"Amsterdam, Netherlands",0,4/25/15 14:20
Chennai,Tamil Nadu,India,"Chennai, India",0,4/25/15 14:20
Eureka,California,United States,"Eureka, United States",8,4/25/15 14:20
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 14:20
Montreal,Quebec,Canada,"Montreal, Canada",0,4/25/15 14:20
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 14:20
Ventura,California,United States,"Ventura, United States",5,4/25/15 14:20
Woodley,England,United Kingdom,"Woodley, United Kingdom",4,4/25/15 14:20
Rho,Lombardy,Italy,"Rho, Italy",6,4/25/15 14:22
Cebu City,Central Visayas,Philippines,"Cebu City, Philippines",0,4/25/15 14:22
Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia,"Kuala Lumpur, Malaysia",0,4/25/15 14:22
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 14:22
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 14:22
Remse,Saxony,Germany,"Remse, Germany",100,4/25/15 14:24
Aomori,Aomori Prefecture,Japan,"Aomori, Japan",3,4/25/15 14:24
Asunciisn,PY-ASU,Paraguay,"Asunciisn, Paraguay",0,4/25/15 14:24
Medan,North Sumatra,Indonesia,"Medan, Indonesia",0,4/25/15 14:24
Overton,England,United Kingdom,"Overton, United Kingdom",2,4/25/15 14:24
Stockholm,Stockholm County,Sweden,"Stockholm, Sweden",0,4/25/15 14:24
Mazarron,Region of Murcia,Spain,"Mazarron, Spain",17,4/25/15 14:25
Golden Valley,Minnesota,United States,"Golden Valley, United States",0,4/25/15 14:25
Halesowen,England,United Kingdom,"Halesowen, United Kingdom",0,4/25/15 14:25
Richmond,Virginia,United States,"Richmond, United States",0,4/25/15 14:25
Tacloban City,Eastern Visayas,Philippines,"Tacloban City, Philippines",50,4/25/15 14:25
Joensuu,North Karelia,Finland,"Joensuu, Finland",3,4/25/15 14:26
Howrah,West Bengal,India,"Howrah, India",0,4/25/15 14:26
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 14:26
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 14:26
Pittsfield Charter Township,Michigan,United States,"Pittsfield Charter Township, United States",0,4/25/15 14:26
Surabaya,East Java,Indonesia,"Surabaya, Indonesia",0,4/25/15 14:26
Arlington,Virginia,United States,"Arlington, United States",1,4/25/15 14:27
Bangalore,Karnataka,India,"Bangalore, India",0,4/25/15 14:27
Chardon,Ohio,United States,"Chardon, United States",2,4/25/15 14:27
Los Angeles,California,United States,"Los Angeles, United States",0,4/25/15 14:27
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 14:27
Plainview,Minnesota,United States,"Plainview, United States",5,4/25/15 14:27
Raleigh,North Carolina,United States,"Raleigh, United States",0,4/25/15 14:27
Skokie,Illinois,United States,"Skokie, United States",4,4/25/15 14:27
Dusseldorf,North Rhine-Westphalia,Germany,"Dusseldorf, Germany",0,4/25/15 14:28
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 14:28
Oslo,Oslo,Norway,"Oslo, Norway",0,4/25/15 14:28
Arlington,Massachusetts,United States,"Arlington, United States",6,4/25/15 14:29
Coalville,Utah,United States,"Coalville, United States",1,4/25/15 14:29
Naperville,Illinois,United States,"Naperville, United States",1,4/25/15 14:29
Surat,Gujarat,India,"Surat, India",1,4/25/15 14:29
Helsinki,Uusimaa,Finland,"Helsinki, Finland",0,4/25/15 14:30
Nantes,Pays de la Loire,France,"Nantes, France",0,4/25/15 14:30
New York,New York,United States,"New York, United States",0,4/25/15 14:30
Perth,Western Australia,Australia,"Perth, Australia",0,4/25/15 14:30
Cologne,North Rhine-Westphalia,Germany,"Cologne, Germany",0,4/25/15 14:31
Lake Forest Park,Washington,United States,"Lake Forest Park, United States",1,4/25/15 14:31
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 14:31
Mississauga,Ontario,Canada,"Mississauga, Canada",0,4/25/15 14:31
Bijnor,Uttar Pradesh,India,"Bijnor, India",100,4/25/15 14:33
Minato,Tokyo,Japan,"Minato, Japan",0,4/25/15 14:33
Osaka,Osaka Prefecture,Japan,"Osaka, Japan",0,4/25/15 14:33
Porlamar,Nueva Esparta,Venezuela,"Porlamar, Venezuela",7,4/25/15 14:33
Quezon City,Metro Manila,Philippines,"Quezon City, Philippines",0,4/25/15 14:33
Gandhidham,Gujarat,India,"Gandhidham, India",20,4/25/15 14:34
Milton,Ontario,Canada,"Milton, Canada",2,4/25/15 14:34
Boston,Massachusetts,United States,"Boston, United States",0,4/25/15 14:35
Bowling Green,Ohio,United States,"Bowling Green, United States",4,4/25/15 14:35
